2-State Environment Evolution Results
====================================

Grid Configuration:
- Width: 10
- Height: 50
- Total cells: 500

Event Count Progression:
Step | Events
521    | 158
522    | 159
523    | 159
524    | 153
525    | 148
526    | 153
527    | 154
528    | 151
529    | 151
530    | 153
531    | 159
532    | 161
533    | 158
534    | 162
535    | 154
536    | 151
537    | 152
538    | 152
539    | 151
540    | 147
541    | 152
542    | 150
543    | 149
544    | 153
545    | 144
546    | 144
547    | 146
548    | 154
549    | 156
550    | 151
551    | 152
552    | 151
553    | 145
554    | 143
555    | 140
556    | 142
557    | 145
558    | 149
559    | 149
560    | 154
561    | 161
562    | 165
563    | 160
564    | 158
565    | 162
566    | 162
567    | 163
568    | 164
569    | 164
570    | 161
571    | 158
572    | 154
573    | 148
574    | 152
575    | 146
576    | 144
577    | 142
578    | 141
579    | 138
580    | 138
581    | 133
582    | 139
583    | 140
584    | 146
585    | 146
586    | 156
587    | 160
588    | 163
589    | 158
590    | 162
591    | 161
592    | 158
593    | 164
594    | 168
595    | 165
596    | 160
597    | 159
598    | 167
599    | 163
600    | 165
601    | 169
602    | 175
603    | 177
604    | 174
605    | 179
606    | 178
607    | 176
608    | 174
609    | 169
610    | 166
611    | 166
612    | 165
613    | 164
614    | 164
615    | 167
616    | 166
617    | 165
618    | 161
619    | 163
620    | 165
621    | 162
622    | 172
623    | 175
624    | 171
625    | 166
626    | 168
627    | 167
628    | 169
629    | 170
630    | 174
631    | 167
632    | 164
633    | 168
634    | 171
635    | 176
636    | 182
637    | 178
638    | 183
639    | 187
640    | 179
641    | 182
642    | 175
643    | 177
644    | 170
645    | 173
646    | 166
647    | 167
648    | 169
649    | 164
650    | 165
651    | 164
652    | 162
653    | 164
654    | 158
655    | 149
656    | 153
657    | 148
658    | 152
659    | 152
660    | 148
661    | 147
662    | 146
663    | 144
664    | 140
665    | 132
666    | 134
667    | 134
668    | 131
669    | 135
670    | 133
671    | 128
672    | 125
673    | 126
674    | 125
675    | 122
676    | 122
677    | 125
678    | 129
679    | 129
680    | 132
681    | 134
682    | 130
683    | 131
684    | 130
685    | 135
686    | 135
687    | 140
688    | 142
689    | 145
690    | 142
691    | 141
692    | 143
693    | 139
694    | 135
695    | 143
696    | 143
697    | 140
698    | 138
699    | 140
700    | 139
701    | 135
702    | 139
703    | 138
704    | 137
705    | 137
706    | 138
707    | 144
708    | 140
709    | 138
710    | 134
711    | 135
712    | 135
713    | 141
714    | 143
715    | 140
716    | 138
717    | 138
718    | 138
719    | 139
720    | 140
721    | 141
722    | 143
723    | 148
724    | 143
725    | 134
726    | 136
727    | 143
728    | 143
729    | 147
730    | 149
731    | 146
732    | 150
733    | 157
734    | 161
735    | 163
736    | 166
737    | 164
738    | 166
739    | 169
740    | 163
741    | 165
742    | 162
743    | 160
744    | 165
745    | 158
746    | 166
747    | 171
748    | 173
749    | 173
750    | 176
751    | 175
752    | 170
753    | 169
754    | 171
755    | 171
